model,total_gpu_energy,energy_score
deepmind/vision-perceiver-conv,0.002641366,1
microsoft/beit-base-patch16-224,0.000741506,5
microsoft/resnet-50,0.000390429,5
microsoft/swin-base-patch4-window12-384,0.001530817,3
microsoft/resnet-18,0.000299115,5
microsoft/swinv2-large-patch4-window12-192-22k,0.001290521,3
microsoft/swinv2-large-patch4-window12-192-22k,0.001386088,3
microsoft/swinv2-tiny-patch4-window8-256,0.000767775,4
microsoft/swinv2-tiny-patch4-window16-256,0.000848117,4
microsoft/beit-base-patch16-224-pt22k-ft22k,0.000778986,4
apple/mobilevit-small,0.000512055,5
WinKawaks/vit-tiny-patch16-224,0.000384751,5
facebook/convnext-base-384-22k-1k,0.001115214,4
facebook/convnext-tiny-224,0.000450754,5
facebook/convnext-large-224,0.000973011,4
nvidia/mit-b5,0.002487931,1
google/efficientnet-b7,0.001849984,2
google/vit-base-patch32-384,0.000758995,5
google/vit-base-patch16-384,0.000991464,4
google/vit-large-patch32-384,0.001163123,4
google/mobilenet_v2_1.0_224,0.000406468,5
google/vit-base-patch16-224,0.000582595,5
google/bit-50,0.000831744,4
