model,total_gpu_energy,energy_score
distilbert/distilbert-base-cased-distilled-squad,0.000239971,5
csarron/mobilebert-uncased-squad-v2,0.000936525,5
Intel/dynamic_tinybert,0.000208572,5
Falconsai/question_answering_v2,0.00022546,5
allenai/longformer-large-4096-finetuned-triviaqa,0.003970963,5
mrm8488/longformer-base-4096-finetuned-squadv2,0.001792351,5
mrm8488/bert-tiny-finetuned-squadv2,5.54E-05,5
deepset/deberta-v3-large-squad2,0.001876685,5
deepset/minilm-uncased-squad2,0.000252815,5
deepset/bert-large-uncased-whole-word-masking-squad2,0.001047537,5
deepset/deberta-v3-base-squad2,0.000812482,5
deepset/electra-base-squad2,0.000468621,5
timpal0l/mdeberta-v3-base-squad2,0.00085768,5
google-t5/t5-large,0.072278456,3
google-t5/t5-11b,0.178130109,1
google-t5/t5-3b,0.087697858,3
google-t5/t5-base,0.03436275,5
google-t5/t5-small,0.020635069,5
